dealer,city,state,bac,model,vin,year,true_age_days,inventory_type,pressure_score
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP1TC081147,2026,89,new,47.54
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP6TC081127,2026,89,new,47.54
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP6TC081287,2026,89,new,47.54
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP9TC081168,2026,89,new,47.54
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP7TC081086,2026,80,new,47.24
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP1TC081228,2026,78,new,47.17
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP3TC077651,2026,78,new,47.17
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP3TC077746,2026,78,new,47.17
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP9TC077685,2026,78,new,47.17
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP4TC124105,2026,34,new,45.7
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP1TC124322,2026,24,new,45.37
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LFEP9TC070160,2026,44,new,46.04
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEPXTC123783,2026,24,new,45.37
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP4SC021443,2025,622,new,49.57
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LGEP4TC071478,2026,90,new,47.57
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LJEPXTC138890,2026,21,new,45.27
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LGEP4TC163786,2026,8,new,44.84
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LJEP9TC139481,2026,9,new,44.87
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LHEP8TC126648,2026,17,new,45.14
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LKEP2TC128313,2026,34,new,45.7
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trax,KL77LJEP8TC067348,2026,90,new,47.57
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trailblazer,KL79MNSLXTB187401,2026,20,new,0.67
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trailblazer,KL79MNSL8TB194959,2026,9,new,0.3
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trailblazer,KL79MNSL6TB184480,2026,22,new,0.73
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trailblazer,KL79MRSL3TB164436,2026,37,new,1.23
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Equinox EV,3GN7DMRP6TS102935,2026,206,new,29
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trailblazer,KL79MRSL3TB152271,2026,50,new,1.67
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trailblazer,KL79MRSLXTB153367,2026,43,new,1.43
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Equinox,3GNAXPEG1TL491207,2026,9,new,0.3
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Trailblazer,KL79MSSL9TB191020,2026,27,new,0.9
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Equinox EV,3GN7DNRP9SS263798,2025,232,new,29
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Equinox,3GNAXPEG4TL468486,2026,14,new,0.47
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Equinox,3GNAXTEG4TL350365,2026,2,new,0.07
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Silverado 1500,3GCNKAED6SG339863,2025,322,new,23
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Blazer,3GNKBHR40TS132607,2026,156,new,23
"NICK CHEVROLET, INC.",Tarentum,PA,113479,Equinox EV,3GN7DSRP4SS253761,2025,239,new,29
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LFEP5TC080068,2026,106,new,21.53
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LKEP9TC103117,2026,78,new,20.6
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LJEPXTC099556,2026,72,new,20.4
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LKEP0TC123546,2026,22,new,18.73
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trailblazer,KL79MSSLXTB074949,2026,35,new,12.17
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trailblazer,KL79MRSL7TB147509,2026,9,new,11.3
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Equinox,3GNAXPEG8TL431053,2026,63,new,20.1
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Equinox,3GNAXPEG6TL255622,2026,76,new,20.53
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Equinox,3GNAXKEG0TL398357,2026,92,new,21.07
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Equinox,3GNAXTEG0TL428205,2026,59,new,19.97
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Traverse,1GNEVGKS7TJ335664,2026,2,new,6.07
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Traverse,1GNEVGKS6TJ333792,2026,6,new,6.2
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Traverse,1GNEVGKS7TJ320856,2026,24,new,6.8
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Traverse,1GNEVGKS1TJ254868,2026,100,new,9.33
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Silverado 1500,1GCPKWEK6TZ314824,2026,22,new,14.23
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Traverse,1GNEVJKS8TJ270367,2026,30,new,7
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Silverado 1500,1GCUKDEDXTZ359015,2026,2,new,13.57
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Silverado 1500,1GCUKGED6TZ287036,2026,76,new,16.03
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Silverado 1500,1GCUKGED7TZ292309,2026,70,new,15.83
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Silverado 2500 HD,1GC3KNE71TF164403,2026,171,new,23
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Colorado,1GCPTFEK7T1216025,2026,22,new,0.73
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Silverado EV,1GC10ZED5TU405353,2026,260,new,23
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Tahoe,1GNS6PKD1TR333153,2026,2,new,0.07
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Corvette E-Ray,1G1YL2D45T5500657,2026,90,new,21
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LFEP4TC104893,2026,57,new,19.9
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LKEP1TC076835,2026,115,new,21.83
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LHEP4TC134892,2026,13,new,18.43
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LHEP9TC134404,2026,13,new,18.43
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LJEP9TC107145,2026,45,new,19.5
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trax,KL77LJEP3TC118464,2026,56,new,19.87
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trailblazer,KL79MRSL4TB183643,2026,20,new,11.67
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trailblazer,KL79MRSL2TB187402,2026,2,new,11.07
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Trailblazer,KL79MSSL9TB103681,2026,118,new,14.93
"CAVALLARO NEUBAUER CHEVROLET OF WOLCOTT, INC.",Wolcott,NY,188144,Bolt,1G1FZ6EV0VF102984,2027,66,new,20.2
